Q92604,LPGAT1,
Q92626,PXDN,
Q92994,BRF1,
Q93088,BHMT,
Q969G6,RFK,
Q969S3,ZNF622,
Q969S9,GFM2,
Q969Z0,TBRG4,
Q96A00,PPP1R14A,
Q96A08,H2BC1,
Q96A35,MRPL24,
Q96AE7,TTC17,
Q96AY3,FKBP10,
Q96BW5,PTER,
Q96BW9-3,TAMM41,
Q96CB9,NSUN4,
Q96CM8-2,ACSF2,
Q96CV9,OPTN,
Q96D46,NMD3,
Q96DA0,ZG16B,
Q96DV4,MRPL38,
Q96E17,RAB3C,
Q96EY7,PTCD3,
Q96FX8,PERP,
Q96GC5,MRPL48,
Q96GX5,MASTL,
Q96HY7,DHTKD1,
Q96I59,NARS2,
Q96I99,SUCLG2,
Q96IK1,BOD1,
Q96IZ0,PAWR,
Q96KC8,DNAJC1,
Q96KM6,ZNF512B,
Q96MM6,HSPA12B,
Q96N66,MBOAT7,
Q96PE7,MCEE,
Q96PM5,RCHY1,
Q96PU8,QKI,
Q96Q45-3,TMEM237,
Q96QE5,TEFM,
Q96RP9-2,GFM1,
Q96RQ3,MCCC1,
Q96RW7,HMCN1,
Q96S37,SLC22A12,
Q96T60,PNKP,
Q96T88-2,UHRF1,
Q99417,MYCBP,
Q99442,SEC62,
Q99538,LGMN,
Q99541,PLIN2,
Q99615,DNAJC7,
Q99627,COPS8,
Q99798,ACO2,
Q99JB2,Stoml2,
Q99M64,Pi4k2a,
Q99MB7,Rnf141,
Q99MS0,Sec14l2,
Q99N27,Snx1,
Q99P99,Hdac4,
Q9BPW8,NIPSNAP1,
Q9BPX6-3,MICU1,
Q9BQ69,MACROD1,
Q9BQJ4,TMEM47,
Q9BQK8-2,LPIN3,
Q9BRJ2,MRPL45,
Q9BRQ6,CHCHD6,
Q9BS26,ERP44,
Q9BSD7,NTPCR,
Q9BSJ8-2,ESYT1,
Q9BT23,LIMD2,
Q9BTV4,TMEM43,
Q9BU89,DOHH,
Q9BUB7,TMEM70,
Q9BUH6,PAXX,
Q9BVL4,SELENOO,
Q9BVQ7,SPATA5L1,
Q9BW66-3,CINP,
Q9BW92,TARS2,
Q9BXP2,SLC12A9,
Q9BXW7,HDHD5,
Q9BY12,SCAPER,
Q9BYC9,MRPL20,
Q9BYD1,MRPL13,
Q9BYD2,MRPL9,
Q9BYD6,MRPL1,
Q9BYG5,PARD6B,
Q9BYN8,MRPS26,
Q9BZ95,NSD3,
Q9BZE1,MRPL37,
Q9BZF9,UACA,
Q9BZX2,UCK2,
Q9C0B5,ZDHHC5,
Q9CPQ1,Cox6c,
Q9CQC8,Spg21,
Q9CQV4,Retreg3,
Q9CQX5,Cldnd1,
Q9CRB9,Chchd3,
Q9CWD8,Nubpl,
Q9CY18,Snx7,
Q9CYG7,Tomm34,
Q9CYY7,Prelid3b,
Q9D0D3,Mtpap,
Q9D0F6,Rfc5,
Q9D281,Fam114a1,
Q9D2Y9,Elovl7,
Q9D7N9,Apmap,
Q9D9G3,Chic2,
Q9DAM7,Tmem263,
Q9DBG5,Plin3,
Q9DCS1,Tmem176a,
Q9EPK8,Trpv4,
Q9EQG9,Cert1,
Q9ER24,Atxn10,
Q9ES71,Gnpat,
Q9ESV1,Luzp1,
Q9GZT3,SLIRP,
